Local,Identificador,Mês,Consumo
Pal. Alvorada,83658,2022-01-01,753
Pal. Alvorada - Viveiro,83666,2022-01-01,421
Pavilhão das Metas - SNJ,83828,2022-01-01,92
Pal. Planalto - Anexos,83861,2022-01-01,3768
Pal. Planal - Transporte,84271,2022-01-01,392
Pal. Planalto,84298,2022-01-01,1106
Pal. Planalto - Almoxarifado,84336,2022-01-01,87
Granja do Torto,129119,2022-01-01,673
Pal. Planalto - Engenharia,4367791,2022-01-01,214
GSI/SPR,7318464,2022-01-01,380
Pal. Alvorada,83658,2022-02-01,607
Pal. Alvorada - Viveiro,83666,2022-02-01,357
Pavilhão das Metas - SNJ,83828,2022-02-01,58
Pal. Planalto - Anexos,83861,2022-02-01,3802
Pal. Planal - Transporte,84271,2022-02-01,444
Pal. Planalto,84298,2022-02-01,1025
Pal. Planalto - Almoxarifado,84336,2022-02-01,83
Granja do Torto,129119,2022-02-01,643
Pal. Planalto - Engenharia,4367791,2022-02-01,206
GSI/SPR,7318464,2022-02-01,397
Pal. Alvorada,83658,2022-03-01,1159
Pal. Alvorada - Viveiro,83666,2022-03-01,568
Pavilhão das Metas - SNJ,83828,2022-03-01,101
Pal. Planalto - Anexos,83861,2022-03-01,4017
Pal. Planal - Transporte,84271,2022-03-01,662
Pal. Planalto,84298,2022-03-01,1460
Pal. Planalto - Almoxarifado,84336,2022-03-01,85
Granja do Torto,129119,2022-03-01,865
Pal. Planalto - Engenharia,4367791,2022-03-01,322
GSI/SPR,7318464,2022-03-01,479
Pal. Alvorada,83658,2022-04-01,1179
Pal. Alvorada - Viveiro,83666,2022-04-01,856
Pavilhão das Metas - SNJ,83828,2022-04-01,95
Pal. Planalto - Anexos,83861,2022-04-01,4272
Pal. Planal - Transporte,84271,2022-04-01,561
Pal. Planalto,84298,2022-04-01,1532
Pal. Planalto - Almoxarifado,84336,2022-04-01,85
Granja do Torto,129119,2022-04-01,899
Pal. Planalto - Engenharia,4367791,2022-04-01,246
GSI/SPR,7318464,2022-04-01,459
Pal. Alvorada,83658,2022-05-01,1064
Pal. Alvorada - Viveiro,83666,2022-05-01,1086
Pavilhão das Metas - SNJ,83828,2022-05-01,97
Pal. Planalto - Anexos,83861,2022-05-01,3572
Pal. Planal - Transporte,84271,2022-05-01,752
Pal. Planalto,84298,2022-05-01,1413
Pal. Planalto - Almoxarifado,84336,2022-05-01,88
Granja do Torto,129119,2022-05-01,875
Pal. Planalto - Engenharia,4367791,2022-05-01,441
GSI/SPR,7318464,2022-05-01,425
